User_ID,Recent_Activities,Purchase_History,Account_Type,Money_on_Account,Services_Taken,Age,Monthly_Income,Credit_Score,Number_of_Dependents,Education_Level,Gender
1,3,3,Checking,3528.927732617703,Retirement Accounts,52,6434.31625471735,333,0,Ph.D.,Male
2,10,5,Checking,3915.2438459079685,Lines of Credit,31,8581.392900383258,507,0,Bachelor's Degree,Female
3,3,4,Checking,2923.3193661169253,Cryptocurrency Services,19,8661.45319827161,504,4,High School,Male
4,6,2,Checking,701.1845559739022,Mobile Banking,41,8025.83970081566,483,3,High School,Female
5,2,1,Savings,4115.114448105658,Overdraft Protection,64,5889.964562073383,425,4,Master's Degree,Male
6,4,3,Savings,3369.881935169614,Automated Investment Services (Robo-Advisors),24,5460.85519293335,437,3,High School,Female
7,4,4,Checking,1075.851543170072,Student Checking Accounts,25,8783.978140299625,301,1,Ph.D.,Female
8,7,2,Savings,3749.3677177662444,Insurance Services,59,6311.971178125319,422,1,Bachelor's Degree,Female
9,7,2,Savings,2360.0615428372857,ATM Fee Reimbursement,39,6702.268486701763,526,0,Bachelor's Degree,Male
10,9,1,Checking,710.4395544801718,Mortgage,36,6139.615360706148,647,2,Master's Degree,Female
11,8,2,Checking,1123.182074734556,Online Loan Applications,42,3895.506358227345,681,4,Master's Degree,Male
12,4,2,Savings,1517.3937934167052,Credit Card,34,7445.6764923332175,399,1,Bachelor's Degree,Female
13,8,1,Savings,2887.5604872548984,Documentary Collections,54,7025.772764283659,846,3,Bachelor's Degree,Male
14,2,2,Checking,972.4935259514987,Trust and Estate Planning Services,57,2166.4897518188864,567,3,Master's Degree,Female
15,4,1,Checking,2203.893722141429,Virtual Account Management,52,7060.416274442355,769,0,Bachelor's Degree,Female
16,1,3,Savings,4361.429647174307,Business Loans,63,7742.906197950563,582,1,High School,Female
17,4,2,Savings,2055.9327804994896,Online Bill Payment,52,7986.631119582157,797,0,Ph.D.,Male
18,2,5,Checking,3066.092801560965,Trust and Estate Planning Services,41,9660.256911392771,748,1,High School,Female
19,5,5,Savings,2973.335057857633,Merchant Services,62,4651.832137624353,489,2,Ph.D.,Male
20,3,3,Checking,2174.2932024548227,Wire Transfers,32,3381.506988817689,336,4,Bachelor's Degree,Female
21,3,1,Savings,2619.0473532688843,Insurance Services,25,2997.1106783492028,695,0,Ph.D.,Male
22,9,4,Checking,3150.347020497691,Currency and Coin Services,24,9674.481362808347,570,4,Ph.D.,Male
23,9,1,Savings,1637.8530903522424,Mutual Funds,26,2822.5156711457294,756,3,Ph.D.,Male
24,3,3,Checking,1594.8088441750353,Business Line of Credit,49,3041.8219885398,709,4,High School,Male
25,8,3,Savings,2071.5715373680287,Escrow Services,62,6616.448887241575,812,4,Ph.D.,Male
26,4,3,Checking,2376.63576687565,Green Banking Initiatives,49,7836.858493461875,319,3,Bachelor's Degree,Male
27,10,4,Checking,1911.537667221262,Online Bill Payment,35,5648.933797538188,761,2,Bachelor's Degree,Male
28,8,1,Checking,2914.7902242624536,Remote Deposit Capture,28,5258.968999855346,330,1,Ph.D.,Female
29,4,1,Savings,2262.8689453464117,Personal Loan,30,4499.122736141533,708,1,Master's Degree,Female
30,10,1,Checking,4111.226905429508,Wire Transfers,64,5271.23141020535,455,2,Bachelor's Degree,Male
31,8,2,Savings,1867.0812117391872,Automated Investment Services (Robo-Advisors),36,8732.399642938537,391,4,Ph.D.,Female
32,8,1,Checking,2084.286528582885,Mobile Banking,25,3875.2860817165997,413,2,Ph.D.,Female
33,7,2,Savings,4870.540507905297,Online Bill Payment,57,5757.774194770878,751,3,Bachelor's Degree,Male
34,3,1,Checking,1690.6267720207375,Mutual Funds,22,2241.260970371645,574,1,Master's Degree,Male
35,10,5,Checking,2100.3885598468514,Mutual Funds,54,7129.315448221083,357,3,Bachelor's Degree,Male
36,1,2,Savings,1755.2908877483396,Charitable Giving Accounts,58,7183.150541282536,346,2,Ph.D.,Female
37,5,4,Savings,3649.2617907667486,Prepaid Cards,26,7277.888644263292,649,3,High School,Male
38,2,5,Savings,4255.862111102922,Online Bill Payment,39,9292.864941176009,612,3,Bachelor's Degree,Male
39,9,2,Checking,2125.8988961396044,Currency Exchange,64,9121.87225434892,440,3,High School,Female
40,3,1,Checking,4953.574725274637,Customer Rewards Programs,64,4527.266987968813,403,2,High School,Female
41,10,4,Checking,3180.6806275873164,Real Estate Financing Consultation,49,8115.323563289297,713,2,High School,Male
42,10,4,Savings,513.2345267669435,Cash Management Services,48,9453.093340153204,712,4,Bachelor's Degree,Female
43,5,4,Checking,1173.0550476834337,Mutual Funds,51,6125.15071669309,819,1,Bachelor's Degree,Female
44,8,2,Savings,721.2441200000212,Remote Deposit Capture,36,4878.676053542066,765,4,Master's Degree,Female
45,9,2,Checking,4666.7848271295425,Wealth Management,52,2586.216011194143,671,0,Master's Degree,Female
46,2,4,Checking,4518.9972678404465,Charitable Giving Accounts,40,4930.589113950284,465,2,High School,Male
47,7,1,Savings,3804.8409243065776,Business Loans,36,6643.035318659385,515,1,Master's Degree,Male
48,4,4,Savings,2925.1422998335106,Peer-to-Peer (P2P) Payments,43,8635.298605531152,517,0,Master's Degree,Female
49,8,5,Checking,2011.8562221692027,Savings Account,59,4808.166947929213,611,2,Master's Degree,Female
50,2,5,Savings,2764.3068743890376,Insurance Services,37,3947.2446919165004,711,2,Master's Degree,Male
51,10,2,Checking,2961.0869155919963,Business Loans,60,9512.048263539313,571,1,Master's Degree,Male
52,2,2,Checking,3238.9251467263284,Foreign Currency Accounts,22,6224.5219516661555,830,4,High School,Male
53,5,1,Savings,3670.730345370176,Fraud Protection Services,27,9799.607414310998,468,3,Ph.D.,Female
54,7,2,Checking,4202.862977626462,Student Loans,33,2103.5808246866986,820,1,Master's Degree,Female
55,8,4,Savings,2781.0400655045923,Business Loans,63,4286.293292063583,822,1,Bachelor's Degree,Male
56,6,4,Checking,4369.380116317502,Business Accounts,60,3151.6965421345953,329,3,Bachelor's Degree,Male
57,10,5,Checking,1072.8241892703802,Health Savings Accounts,19,5908.159954040366,634,1,Master's Degree,Female
58,8,4,Checking,1638.703807193081,Mobile Banking,20,7737.927449679972,525,3,High School,Female
59,3,4,Checking,1594.2499914300006,Auto Loan,29,6111.591562802707,657,3,High School,Male
60,8,4,Checking,1862.3099480927704,Currency Exchange,18,7192.287303729808,301,2,Master's Degree,Male
61,9,4,Savings,4218.599153078854,Currency and Coin Services,61,4759.917362749311,845,0,Ph.D.,Female
62,10,2,Checking,2098.6931798118394,Remote Deposit Capture,34,9979.144108968689,450,3,Ph.D.,Male
63,1,2,Savings,2838.321018088537,Prepaid Cards,26,4047.6130204069864,537,1,Bachelor's Degree,Male
64,8,4,Checking,1827.733679703049,Certificate of Deposit (CD),43,2093.667864630521,352,3,Ph.D.,Female
65,9,3,Checking,3843.4229053836198,Safe Deposit Boxes,51,6465.112787685609,446,2,Bachelor's Degree,Female
66,1,3,Savings,2081.17851636511,Online Loan Applications,35,7868.836336523006,479,1,Bachelor's Degree,Male
67,9,1,Savings,1384.9414422900568,ATM Fee Reimbursement,35,4716.2541085383,635,4,Bachelor's Degree,Female
68,6,5,Savings,2392.221145090515,Virtual Account Management,51,5634.7091999434015,322,4,Ph.D.,Male
69,1,3,Savings,1488.9696334561988,Automated Investment Services (Robo-Advisors),57,9357.75036061908,356,3,High School,Female
70,7,1,Checking,722.2610935712728,Online Loan Applications,58,3244.2591598850813,647,1,High School,Male
71,10,2,Savings,4085.4459787116325,Virtual Account Management,19,2791.0733697616197,598,3,High School,Male
72,6,1,Checking,1507.262610955873,Home Equity Lines of Credit (HELOC),35,9371.788251597525,612,2,Master's Degree,Female
73,1,3,Savings,1592.050446060593,Escrow Services,30,2815.366512119177,581,3,High School,Male
74,10,4,Checking,2363.7853793618547,Custodial Services,57,9889.132821276064,806,4,Ph.D.,Male
75,9,2,Checking,2498.451129014764,Documentary Collections,36,8200.148830022335,836,4,High School,Male
76,7,5,Checking,1234.318730414896,Peer-to-Peer (P2P) Payments,18,8003.414277888876,804,1,Ph.D.,Female
77,6,3,Savings,3302.4970775227853,Business Accounts,44,3873.9550871441334,429,0,Master's Degree,Female
78,8,5,Checking,2173.8882216179227,Financial Education and Counseling,27,8026.104857978387,664,4,Bachelor's Degree,Female
79,5,5,Checking,3545.8855718661657,Home Equity Lines of Credit (HELOC),44,2653.2062368956213,831,1,High School,Male
80,8,2,Checking,820.5607238474457,Financial Workshops and Seminars,57,7342.731673425419,708,2,Master's Degree,Male
81,9,1,Savings,2358.993850838223,Cash Management Services,34,9271.7884075493,505,4,Ph.D.,Male
82,10,4,Checking,1639.0448523188272,Merchant Services,64,6695.812685282808,522,4,Master's Degree,Female
83,7,2,Savings,2773.0051918020854,Credit Card,40,5945.912997565192,321,0,Ph.D.,Female
84,1,4,Checking,3029.254439852233,Financial Advisory,26,6974.043365724849,362,0,Bachelor's Degree,Female
85,9,4,Checking,4417.408670351253,Financial Workshops and Seminars,27,2681.991989848994,403,1,Ph.D.,Female
86,10,2,Checking,2507.0579592347485,Internet Banking,23,7808.824141418722,762,0,Bachelor's Degree,Male
87,1,5,Savings,4548.226149925517,Credit Card,33,7083.3974508041465,332,1,Bachelor's Degree,Female
88,10,4,Checking,4541.010861978958,Safe Deposit Boxes,60,8554.92085991635,561,2,Ph.D.,Female
89,3,4,Savings,4222.855470318919,Electronic Funds Transfer,32,3225.637972510545,847,0,Bachelor's Degree,Female
90,10,4,Checking,3045.7567385042244,Financial Workshops and Seminars,58,3761.0065757311127,680,2,Master's Degree,Female
91,4,1,Checking,1295.590754585718,Overdraft Protection,44,4900.729644174677,768,3,High School,Male
92,5,3,Savings,1733.3598938011992,Mortgage,47,8747.349078549958,800,1,Bachelor's Degree,Female
93,4,4,Checking,804.6694733572497,Home Equity Lines of Credit (HELOC),62,9873.018971315123,605,4,High School,Male
94,9,3,Checking,1122.7744916412291,Foreign Currency Accounts,58,5694.945922945797,427,1,Master's Degree,Male
95,5,1,Checking,1953.785154702594,Wealth Management,48,5960.149477714066,424,4,High School,Female
